item_from,item_to
7,11
11,7
11,22
22,11
22,30
30,22
30,33
33,30
33,38
38,33
38,41
41,38
41,43
43,41
43,57
57,43
57,59
59,57
59,67
67,59
67,69
69,67
69,73
73,69
73,78
78,73
78,80
80,78
80,5
5,80
5,6
6,5
6,14
14,6
14,15
15,14
15,16
16,15
16,20
20,16
20,23
23,20
23,27
27,23
27,32
32,27
32,45
45,32
45,50
50,45
50,58
58,50
58,62
62,58
62,65
65,62
65,72
72,65
72,1
1,72
1,2
2,1
2,3
3,2
3,4
4,3
4,8
8,4
8,9
9,8
9,10
10,9
10,12
12,10
12,13
13,12
13,17
17,13
7,62
62,7
10,22
22,10
43,59
59,43
41,78
78,41
10,14
14,10
67,2
2,67
9,4
4,9
67,20
20,67
59,3
3,59
57,6
6,57
50,38
38,50
72,10
10,72
2,3
3,2
2,20
20,2
41,59
59,41
16,7
7,16
43,6
6,43
38,7
7,38
72,30
30,72
9,41
41,9
20,10
10,20
15,4
4,15
8,43
43,8
23,65
65,23
2,6
6,2
12,4
4,12
20,23
23,20
22,80
80,22
9,59
59,9
10,72
72,10
73,58
58,73
65,7
7,65
80,16
16,80
4,15
15,4
17,67
67,17
14,7
7,14
32,27
27,32
6,20
20,6
45,22
22,45
67,14
14,67
78,16
16,78
72,5
5,72
3,14
14,3
14,5
5,14
15,20
20,15
45,23
23,45
5,14
14,5
15,67
67,15
16,6
6,16
13,27
27,13
16,9
9,16
32,33
33,32
14,30
30,14
15,69
69,15
8,1
1,8
43,30
30,43
73,4
4,73
3,7
7,3
73,43
43,73
3,9
9,3
84,91
91,84
91,99
99,91
99,100
100,99
100,101
101,100
101,110
110,101
110,124
124,110
124,129
129,124
129,133
133,129
133,146
146,133
146,149
149,146
149,153
153,149
153,165
165,153
165,169
169,165
169,172
172,169
172,106
106,172
106,109
109,106
109,111
111,109
111,112
112,111
112,118
118,112
118,125
125,118
125,132
132,125
132,142
142,132
142,145
145,142
145,150
150,145
150,152
152,150
152,156
156,152
156,159
159,156
159,168
168,159
168,174
174,168
174,18
18,174
18,19
19,18
19,21
21,19
21,24
24,21
24,25
25,24
25,26
26,25
26,28
28,26
28,29
29,28
29,31
31,29
31,34
34,31
21,169
169,21
19,21
21,19
168,146
146,168
99,110
110,99
153,124
124,153
146,25
25,146
24,91
91,24
112,132
132,112
25,91
91,25
26,124
124,26
111,152
152,111
29,28
28,29
159,174
174,159
110,21
21,110
172,153
153,172
112,146
146,112
150,172
172,150
165,152
152,165
132,111
111,132
168,174
174,168
31,109
109,31
132,34
34,132
159,111
111,159
132,110
110,132
84,112
112,84
26,125
125,26
129,111
111,129
118,150
150,118
146,149
149,146
133,146
146,133
168,169
169,168
91,34
34,91
84,172
