item_id,category,price,rating,brand,in_stock
1,laptops,161790,4.3,Alpha,1
2,toys,7612,4.5,ReadMore,1
3,home,39088,4.7,WorkPro,0
4,books,2808,3.2,Delta,1
5,accessories,3279,4.8,ReadMore,0
6,accessories,7395,4.3,ZenTech,1
7,phones,42532,4.4,ZenTech,1
8,toys,1881,4.8,ZenTech,1
9,books,3624,4.2,Alpha,0
10,home,46445,3.7,Alpha,0
11,phones,20713,4.7,SoundX,1
12,toys,16939,3.7,SoundX,0
13,home,5804,3.1,WorkPro,0
14,accessories,2338,4.7,Delta,0
15,accessories,2444,3.7,Beta,1
16,accessories,7093,4.5,Beta,1
17,laptops,98141,3.7,ReadMore,1
18,books,1315,4.7,ZenTech,1
19,laptops,101813,3.4,Delta,1
20,accessories,3636,4.9,DeepAI,1
21,books,2493,4.6,Alpha,1
22,phones,23415,3.2,CaseCo,0
23,accessories,5858,4.1,Gamma,0
24,laptops,152816,5.0,WorkPro,0
25,laptops,168778,3.9,ZenTech,1
26,home,24833,3.4,ZenTech,1
27,accessories,4658,4.0,ZenTech,1
28,books,4225,4.0,Alpha,0
29,books,4300,4.5,Alpha,0
30,phones,33017,4.4,Gamma,1
31,books,2452,3.8,DeepAI,1
32,accessories,7766,3.4,Delta,1
33,phones,23702,4.3,ZenTech,1
34,toys,684,3.8,Beta,1
35,toys,704,3.3,SoundX,1
36,home,41943,4.8,Beta,0
37,laptops,52763,4.4,ReadMore,1
38,phones,33384,4.4,Beta,1
39,books,3056,4.6,ReadMore,1
40,laptops,138142,4.1,CaseCo,1
41,phones,24860,4.6,SoundX,0
42,laptops,120642,4.0,Beta,1
43,phones,65612,3.1,CaseCo,1
44,toys,3936,3.8,WorkPro,1
45,accessories,3224,4.0,Delta,1
46,books,4478,4.4,CaseCo,1
47,laptops,184528,3.2,Delta,1
48,books,2348,3.3,Beta,1
49,books,4446,3.5,DeepAI,1
50,accessories,5280,3.5,CaseCo,1
51,toys,17400,4.5,SoundX,0
52,home,22949,3.5,Beta,1
53,toys,4844,4.3,ZenTech,1
54,toys,5276,4.0,Alpha,1
55,books,4883,4.1,CaseCo,1
56,toys,10315,4.7,SoundX,1
57,phones,51187,3.8,WorkPro,1
58,accessories,6738,4.5,ZenTech,1
59,phones,22239,3.8,WorkPro,1
60,laptops,164454,3.7,Beta,1
61,laptops,54489,4.9,Alpha,0
62,accessories,749,3.4,CaseCo,0
63,home,44125,3.2,CaseCo,1
64,laptops,89922,4.5,DeepAI,1
65,accessories,4462,3.1,DeepAI,1
66,books,4663,4.7,Beta,1
67,phones,57944,3.9,Beta,1
68,home,9427,4.8,Alpha,1
69,phones,39285,4.4,DeepAI,1
70,toys,5158,4.2,SoundX,1
71,home,43808,4.9,SoundX,1
72,accessories,7044,3.8,Alpha,1
73,phones,68871,4.9,SoundX,1
74,home,20198,3.3,ReadMore,1
75,home,20758,4.0,Delta,1
76,home,16254,3.5,Alpha,1
77,home,45238,4.1,Alpha,0
78,phones,16252,3.3,Gamma,1
79,laptops,79764,4.7,ZenTech,1
80,phones,52441,4.7,ZenTech,1
81,toys,16081,4.9,ReadMore,0
82,books,1629,3.3,DeepAI,0
83,laptops,95393,4.2,Beta,0
84,phones,88553,3.9,Beta,1
85,laptops,178013,3.7,WorkPro,1
86,laptops,65934,3.7,ReadMore,1
87,home,24386,3.8,Alpha,1
88,books,2782,4.4,ReadMore,1
89,toys,10509,4.2,ReadMore,1
90,laptops,134456,3.9,ReadMore,1
91,phones,68413,3.2,ZenTech,1
92,home,32703,3.2,ReadMore,1
93,home,43318,3.0,Delta,1
94,books,4937,4.9,Beta,1
95,home,5854,3.0,WorkPro,1
96,laptops,83088,3.2,Delta,1
97,books,2480,3.6,WorkPro,1
98,laptops,143196,4.6,Gamma,1
99,phones,54811,4.9,WorkPro,0
100,phones,70479,4.6,Beta,1
101,phones,34963,4.4,Beta,0
102,books,3331,4.0,ReadMore,1
103,laptops,142468,3.2,CaseCo,1
104,books,2893,4.9,Gamma,1
